"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
assist_sed_prob,prep_r_survey,,radio,"During the past three months, how often has your use of sedatives or sleeping pills led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
assist_sed_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of sedatives or sleeping pills?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
assist_sed_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of sedatives or sleeping pills?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
assist_sed_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using sedatives or sleeping pills?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_sedatives] = '1'",,,,sedatives,,
assist_opioids,prep_r_survey,,radio,"In your life, have you ever used opioids?","0, No | 1, Yes | -98, Don't know | -99, Refused","OPIOIDS (heroin, morphine, methadone, codeine, etc.)",,,,,,,,,,,
assist_opioids3m,prep_r_survey,,radio,"In the past three months, how often have you used opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_opioids_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_opioids_prob,prep_r_survey,,radio,"During the past three months, how often has your use of opioids led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_opioids_expect,prep_r_survey,,radio,"During the past three months, how often have you failed to do what was normally expected of you because of your use of opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_opioids_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_opioids_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_opioids] = '1'",,,,opioids,,
assist_other,prep_r_survey,,radio,"In your life, have you ever used other substances?","1, Yes | 0, No | -98, Don't know | -99, Refused",,,,,,,,,,,,
assist_other3m,prep_r_survey,,radio,"In the past three months, how often have you used other substances?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_other_desire,prep_r_survey,,radio,"During the past three months, how often have you had a strong desire or urge to use other substances?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_other_prob,prep_r_survey,,radio,"During the past three months, how often has your use of other substances led to health, social, legal or financial problems?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_other_expect,prep_r_survey,,radio,"During the past three months, how foten have you failed to do what was normally expected of you because of your use of other substances?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_other_concern,prep_r_survey,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of other substances?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_other_control,prep_r_survey,,radio,"Have you ever tried and failed to control, cut down or stop using opioids?","1, Never | 2, Once or Twice | 3, Monthly | 4, Weekly | 5, Daily or Almost Daily | -98, Don't know | -99, Refused",,,,,,"[assist_other] = '1'",,,,othersubstances,,
assist_inject,prep_r_survey,,radio,"Have you ever used any drug by injection?","1, Never | 2, Yes, in the past 3 months | 3, Yes, but not in the past 3 months | -98, Don't know | -99, Refused","(NON-MEDICAL USE ONLY)",,,,,,,,,,,
arba_intro,prep_r_survey,"<strong><em><div style=""font-size: 14pt""> PART IX. </strong></em></div>",descriptive,"<strong> The next questions are about your sexual experiences with other people. Specifically, I will ask you about vaginal sex and anal sex with men, women, transgender women, and transgender men. When I say  ""vaginal sex,"" I mean when a person inserts their penis into somebody else's vagina. By ""anal sex,"" I mean when a person inserts their penis into someone else's anus or rectum. Please remember that your responses to these questions will be kept confidential and that no one you know will ever see them. You may choose to skip any question that makes you feel uncomfortable.</strong>

<em> This part of the survey will ask you about sex. We will use the medical words that refer to your specific anatomy - words like penis, anus and vagina. These may not be the words you use. It is important for this research project that we use words that are clear so that everyone understands what question we are asking. We don't want to disrespect you.

We will ask you about anal sex, vaginal sex, and oral sex.

Except where indicated, all questions about sex refer to sex you experienced because you wanted to, not because you were forced, coerced or otherwise made to have sex.

Remember your answers to these questions will be kept completely private. Please try your best to answer each question. </em>

",,,,,,,,,,,,,
arba1,prep_r_survey,,text,"The next set of questions will be about the LAST 3 MONTHS. Please think back to this date and enter something you did or something your family did during that time to help you remember the last 3 months.",,,,,,,,,,1,,,
arba_anal,prep_r_survey,,descriptive,"<em>When answering the next questions, please thing about the time you did this (<font color=""blue"">[arba1]</font>), around this date, until today.</em>



<em>These next questions will be about anal sex. By ""anal sex"" we mean when a penis is put in someone else's anus or butt.

Remember your answers to these questions will be private. Please try your best to answer each question.

Except where indicated, all questions about sex refer to sex you experienced because you wanted to, not because you were forced, coerced or otherwise made to have sex.</em>",,,,,,,,,,,,,
arba_anal3m,prep_r_survey,,radio,"Did you have anal sex in the last three months?","1, Yes | 0, No | -99, Refused",,,,,,,,,2,,,
arba_anal_partners,prep_r_survey,,text,"How many partners have you had anal (insertive or receptive) sex within the past 3 months? This includes sex with or without a condom.",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,3a,,,
arba_anal_hivpos,prep_r_survey,,text,"How many of these partners were HIV-positive? (They told you they were HIV positive)",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,3b,,,
arba_anal_hivneg,prep_r_survey,,text,"How many of these partners were HIV-negative? (They told you they were HIV negative)",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,3c,,,
arba_anal_hivunknown,prep_r_survey,,text,"How many of these partners were of HIV unknown serostatus? (They did not tell you their HIV status)",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,3d,,,
arba_anal_exchange,prep_r_survey,,text,"With how many of these <font color =""blue"">[arba_anal_partners]</font> partners did you have anal sex with in exchange for things you needed (like money, drugs, food, shelter, etc.)?

Please enter 0 if you did not have anal sex in exchange for things you needed with any of these partners.",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,3e,,,
arba_recept_times,prep_r_survey," ",text,"In the past 3 months, how many times have you had receptive anal sex with these <font color =""blue"">[arba_anal_partners]</font> partners (that is, this person put his or her penis in your anus or butt)? This includes sex with or without a condom.",,,integer,0,99,,"[arba_anal3m] = '1'",,RH,4a,,,
arba_recept_intox,prep_r_survey,,text,"Of the <font color =""blue"">[arba_recept_times]</font> times you had receptive anal sex... How many times have you had receptive anal sex in the past 3 months while under the influence of alcohol and/or drugs?",,,integer,0,999,,"[arba_anal3m] = '1' and [arba_recept_times] > 0",,RH,4b,,,
arba_recept_nocond,prep_r_survey,,text,"Of the <font color =""blue"">[arba_recept_times]</font> times you had receptive anal sex... How many times have you had unprotected receptive anal sex? (this person put his or her penis in your anus or butt and no condom was used - or a condom was used but only for part of the time)",,,integer,0,999,,"[arba_anal3m] = '1' and [arba_recept_times] > 0",,RH,4c,,,
arba_recept_intoxnocond,prep_r_survey,,text,"Of the <font color =""blue"">[arba_recept_nocondom]</font> times you had unprotected receptive anal sex... How many times have you had unprotected receptive anal sex while under the influence of alcohol and/or drugs? (this person put his or her penis in your anus or butt and no condom was used - or a condom was used but only for part of the time)",,,integer,0,99,,"[arba_anal3m] = '1' and [arba_recept_intox] > 0 and [arba_recept_times] > 0",,RH,4d,,,
arba_insert_times,prep_r_survey," ",text,"In the past 3 months, how many times have you had insertive anal sex with these partners (that is, you put your penis in his or her anus or butt)? This includes sex with or without a condom.",,,integer,0,999,,"[arba_anal3m] = '1'",,RH,5a,,,
arba_insert_intox,prep_r_survey,,text,"Of the <font color =""blue"">[arba_insert_times]</font> times you had insertive anal sex... How many times have you had insertive anal sex in past 3 months while under the influence of alcohol and/or drugs?",,,integer,0,999,,"[arba_insert_times] > 0",,RH,5b,,,
arba_insert_nocondom,prep_r_survey,,text,"Of the <font color =""blue"">[arba_insert_times]</font> times you had insertive anal sex... How many times have you had unprotected insertive anal sex? (you put your penis in his or her anus or butt and no condom was used - or a condom was used but only for part of the time)",,,integer,0,999,,"[arba_insert_times] > 0",,RH,5c,,,
arba_insert_intoxnocondom,prep_r_survey,,text,"Of the <font color =""blue"">[arba_insert_nocondom]</font> times you have had unprotected insertive anal sex... How many times have you had unprotected insertive anal sex while under the influence of alcohol and/or drugs? (you put your penis in his or her anus or butt and no condom was used - or a condom was used buy only for part of the time)",,,integer,0,999,,"[arba_insert_times] > 0 and [arba_insert_intox] > 0 and [arba_insert_nocondom] > 0",,RH,5d,,,
arba_vaginal,prep_r_survey," ",descriptive,"<em>These next questions will be about vaginal sex. By ""vaginal sex"" we mean when a penis is put into someone else's vagina. Remember your answers to these questions will be private. Please try your best to answer each question. Except where indicated, all questions about sex refer to sex you experienced because you wanted to, not because you were forced, coerced or otherwise made to have sex.</em>",,,,,,,,,,,,,
arba_vag3m,prep_r_survey,,radio,"Did you have vaginal sex in the last three months?","1, Yes | 0, No | -99, Refused",,,,,,,,,6,,,
arba_vag_partners,prep_r_survey,,text,"How many partners have you had vaginal (insertive or receptive) sex with in the past 3 months? This includes sex with or without a condom.",,,integer,0,999,,"[arba_vag3m] = '1'",,RH,7a,,,
arba_vag_hivpos,prep_r_survey,,text,"Remember you said you had <font color =""blue"">[arba_vag_partners]</font> vaginal partners in the past 3 months.

How many of these partners were HIV-positive? (They told you they were HIV positive)",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0",,RH,7b,,,
arba_vag_hivneg,prep_r_survey,,text,"Remember you said you had <font color =""blue"">[arba_vag_partners]</font> vaginal partners in the past 3 months.

How many of these partners were HIV-negative (They told you they were HIV negative)",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0",,RH,7c,,,
arba_vag_hivunknown,prep_r_survey,,text,"Remember you said you had <font color =""blue"">[arba_vag_partners]</font> vaginal partners in the past 3 months.

How many of these partners were HIV unknown serostatus (They did not tell you their HIV status)?",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0",,RH,7d,,,
arba_vag_exchange,prep_r_survey,,text,"With how many of these <font color=""blue"">[arba_vag_partners]</font> partners did you have vaginal sex with in exchange for things you needed (like money, drugs, food, shelter, etc.)?

Please enter 0 if you did not have vaginal sex in exchange for things you needed with any of these partners.",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0",,RH,7e,,,
arba_insvag_times,prep_r_survey,,text,"In the past 3 months, how many times have you had insertive vaginal sex with these <font color=""blue"">[arba_vag_partners]</font> partners? This includes sex with or without a condom.",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0",,RH,8a,,,
arba_insvag_intox,prep_r_survey,,text,"Of the <font color=""blue"">[arba_insvag_times]</font> times you had insertive vaginal sex...

How many times have you had insertive vaginal sex in the past 3 months while under the influence of alcohol and/or drugs?",,,integer,0,999,,"[arba_vag3m] = '1' and [arba_vag_partners] > 0 and [arba_insvag_times] > 0",,RH,8b,,,
arba_insvag_nocondom,prep_r_survey,,text,"Of the <font color=""blue"">[arba_insvag_times]</font> times you had insertive vaginal sex...

How many times have you had unprotected insertive vaginal sex? (you put your penis in a partner's vagina and no condom was used - or a condom was used but only for part of the time)",,,integer,0,99,,"[arba_vag3m] = '1' and [arba_insvag_times] > 0",,RH,8c,,,
arba_insvag_intoxnocondom,prep_r_survey,,text,"Of the <font color=""blue"">[arba_insvag_nocondom]</font> number of times you have had unprotected insertive vaginal sex...

How many times have you had unprotected insertive vaginal sex while under the influence of alcohol and/or drugs? (you put your penis in a partner's vagina and no condom was used - or a condom was used but only for part of the time)",,,,,,,,,RH,8d,,,
arba_last,prep_r_survey,,text,"Thinking about the LAST 3 MONTHS (from < 3m> until <today>), please enter the initials of your LAST sexual partner (someone you've had anal or vaginal sex with).",,,,,,,,,RH,13,,,
arba_laststatus,prep_r_survey,,radio,"We're going to ask you about your LAST partner, <font color=""blue"">[arba_last]</font>.

What was the HIV status of this partner <font color=""blue"">([arba_last])</font>?","1, He or she was HIV positive | 2, He or she was HIV negative | -98, I don't know his/her HIV status",,,,,,,,,14,,,
arba_laststatushow,prep_r_survey,,radio,"How did you find out about this partner's HIV status?","1, He or she told me | 2, I found out through another person | 3, I assumed his/her HIV status | -97, Other",,,,,,"[arba_laststatus] = '2' or [arba_laststatus] = '1'",,,14a,,,
arba_laststatushow_oth,prep_r_survey,,text,"Please specify:",,,,,,,"[arba_laststatushow] = '-97'",,,14b,,,
arba_lastrace,prep_r_survey,,radio,"How would you describe this last partner, <font color=""blue"">[arba_last]'s</font> race or ethnic background?","1, White (not Hispanic or Latino/a) | 2, Black/ African American | 3, Hispanic/ Latino/a | 4, Asian or Pacific Islander | 5, Native American | 6, Other | 97, Multi-racial",,,,,,,,,15,,,
arba_lastraceoth,prep_r_survey,,text,"Please specify:",,,,,,,"[arba_lastrace] = '6' or [arba_lastrace] = '97'",,RH,15a,,,
arba_lastrel,prep_r_survey,,radio,"How would you describe your relationship with this partner, (<font color=""blue"">[arba_last]</font>)?","1, Serious relationship (boyfriend/girlfriend), someone you dated for a while and feel very close to | 2, Casually dating but not serious | 3, Sleeping with this person (fuck buddy or booty call) but not dating | 4, One night stand | 5, Stranger or anonymous person",,,,,,,,,16,,,
arba_lastlong,prep_r_survey,,radio,"How long have you been with <font color=""blue"">[arba_last]</font>?","1, Less than 1 month | 2, 1 to 3 months | 3, 4 to 6 months | 4, 7 to 11 months | 5, 1 to 3 years | 6, Over 3 years",,,,,,,,,17,,,
arba_lastage,prep_r_survey,,radio,"How old was this partner, (<font color=""blue"">[arba_last]</font>) when you first started having sex with him/her?","1, He or she was younger than you | 2, You were the same age | 3, 1 to 2 years older than you | 4, 3 to 4 years older than you | 5, 5 to 9 years older than you | 6, 10 or more years older than you",,,,,,,,,18,,,
arba_lastdrink,prep_r_survey,,radio,"How frequently did you drink alcohol before having anal or vaginal sex with this partner (<font color=""blue"">[arba_last]</font>)?","1, Never | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Always",,,,,,,,,19,,,
arba_lastdrugs,prep_r_survey,,radio,"How frequently did you use drugs before having anal or vaginal sex with this partner (<font color=""blue"">[arba_last]</font>)?","1, Never | 2, Less than half the time | 3, About half the time | 4, More than half the time | 5, Always",,,,,,,,,20,,,
arba_lastgender,prep_r_survey,,radio,"What was this partner's (<font color=""blue"">[arba_last]</font>) gender?","1, Male | 2, Female | 3, Transgender (male-to-female) | 4, Transgender (female-to-male)",,,,,,,,,21,,,
arba_last_insanal,prep_r_survey,,text,"In the last 3 months, how many times did you have anal sex with this partner (<font color=""blue"">[arba_last]</font>) with you as the top (you put your penis in his or her anus or butt)?",,,integer,0,999,,,,RH,22,,,
arba_last_insanalcond,prep_r_survey,,text,"You said you had anal sex with this partner, (<font color=""blue"">[arba_last]</font>) with you ast the top <font color=""blue"">[arba_last_insanal]</font> times during the last 3 months. 

Thinking about those times, how many times did you use a condom during anal sex with you as the top?",,,integer,0,999,,"[arba_last_insanal] > 0",,RH,22a,,,
arba_last_recanal,prep_r_survey,,text,"In the last 3 months, how many times did you have anal sex with this partner, (<font color=""blue"">[arba_last]</font>) with you as the bottom (the partner put their penis in your anus or butt)?",,,integer,0,999,,,,RH,23,,,
arba_last_recanalcond,prep_r_survey,,text,"You said you had anal sex with this partner,(<font color=""blue"">[arba_last]</font>) with you as the bottom (<font color=""blue"">[arba_last_recanal]</font>) times during the last 3 months.

Thinking about those times, how many times did you use a condom during anal sex with you as the bottom?",,,integer,0,999,,,,RH,23a,,,
arba_last_insvag,prep_r_survey,,text,"In the last 3 months, how many times did you have vaginal sex with this partner, (<font color=""blue"">[arba_last]</font>) with you as the top (you put your penis in his or her vagina)?",,,integer,0,999,,,,RH,24,,,
arba_last_insvagcond,prep_r_survey,,text,"You said you had vaginal sex with this partner  (<font color=""blue"">[arba_last]</font>) with you ast the top  (<font color=""blue"">[arba_last_insvag]</font>) times during the last 3 months.

Thinking about those times, how many times did you use a condom during vaginal sex with you as the top?",,,integer,0,999,,"[arba_last_insvag] > 0",,RH,24a,,,
sti_chlamydia,prep_r_survey,"<strong><em><div style=""font-size: 14pt""> PART X. </strong></em></div>



The next questions concern whether or not you have ever been told you had a sexually transmitted disease.

Have you ever been told by a doctor or nurse that you had...",radio,Chlamydia,"1, Yes | 0, No | -99, Refused",,,,,,,,,,prevsti,,
sti_gonorrhea,prep_r_survey,,radio,Gonorrhea,"1, Yes | 0, No | -99, Refused",,,,,,,,,,prevsti,,
sti_syph,prep_r_survey,,radio,Syphilis,"1, Yes | 0, No | -99, Refused",,,,,,,,,,prevsti,,
sti_other,prep_r_survey,,radio,"Any other STIs?","1, Yes | 0, No | -99, Refused",,,,,,,,,,prevsti,,
sti_otherspec,prep_r_survey,,text,"Which STIs have you been diagnosed with?",,,,,,,"[sti_other] = '1'",,RH,,,,
sti_transition,prep_r_survey,,descriptive,"Now that we've talked about your sexual behavior, I want to ask you questions about HIV and different HIV prevention methods that people can use.",,,,,,,,,,,,,
sti_hivlikely,prep_r_survey,,slider,"On a scale of 0 to 100, where 0 = not at all likely and 100 = I will definitely get HIV in my lifetime, how likely do you think it is that you will get HIV during your lifetime?","Not at all likely | I will definitely get HIV in my lifetime",,number,,,,,,RH,,,,
sti_transitionprep,prep_r_survey,,descriptive,"Pre-exposure prophylaxis (PrEP) is a way for people who do not have HIV but who are at substantial risk of getting it to prevent HIV infection by taking a pill every day. [PrEP is when HIV-negative people take anti-HIV medications (anti-retrovirals like Truvada) BEFORE HAVING SEX to prevent HIV infection]. When someone is exposed to HIV through sex or injection drug use, the pill can work to keep the virus from establishing a permanent infection. When taken consistently, PrEP has been shown to reduce the risk of HIV infection in people who are at high risk by up to 92%. PrEP is much less effective if it is not taken consistently.",,,,,,,,,,,,,
sti_prep_aware,prep_r_survey,,radio,"Before today, have you ever heard of PrEP (pre-exposure prophylaxis)?","0, No | 1, Yes | -98, Don't Know",,,,,,,,,1,stiprep,,
sti_prep_on,prep_r_survey,,radio,"Are you currently taking anti-HIV medications (PrEP) to prevent HIV infection?","0, No | 1, Yes | -98, Don't Know",,,,,,,,,2,stiprep,,
sti_prep_network,prep_r_survey,,radio,"Do you know anyone who is taking anti-HIV medications (PrEP) to prevent HIV infection?","0, No | 1, Yes | -98, Don't Know",,,,,,,,,3,stiprep,,
sti_pep_aware,prep_r_survey,,radio,"Have you ever heard of PEP (post-exposure prophylaxis)? PEP is when HIV-negative people take anti-HIV medications (anti-retrovirals) AFTER potentially being exposed to HIV in order to prevent infection.","0, No | 1, Yes | -98, Don't Know",,,,,,,,,4,stiprep,,
sti_pep_taken,prep_r_survey,,radio,"Have you ever taken anti-HIV medications (PEP) AFTER potentially being exposed to HIV?","0, No | 1, Yes | -98, Don't Know",,,,,,,,,5,stiprep,,
sti_pep_network,prep_r_survey,,radio,"Do you know anyone who has taken anti-HIV medications AFTER potentially being exposed to HIV?","0, No | 1, Yes | -98, Don't Know",,,,,,,,,6,stiprep,,
sti_prep_source,prep_r_survey,,radio,"Where did you hear about PrEP?","1, A friend or family member | 2, A sex partner | 3, An HIV prevention counselor | 4, On a website | 5, At a community meeting | 6, From a poster or flyer | 7, Other | -98, Don't Know",,,,,,"[sti_prep_aware] = '1'",,,7,,,
sti_prep_sourceoth,prep_r_survey,,text,"Please specify:",,,,,,,"[sti_prep_source] = '7'",,RH,,,,
sti_preptransition2,prep_r_survey,,descriptive,"People have different opinions about PrEP. Please indicate how much you agree or disagree with the following statements:",,,,,,,,,,,,,
sti_prep_should,prep_r_survey,,radio,"I think people should take PrEP.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,1,stiprepopinions,,
sti_prep_condoms,prep_r_survey,,radio,"I think condoms are a better choice than PrEP.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,2,stiprepopinions,,
sti_prep_sleep,prep_r_survey,,radio,"People who are on PrEP sleep around.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,3,stiprepopinions,,
sti_prep_irrespons,prep_r_survey,,radio,"People who are on PrEP are irresponsible.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,4,stiprepopinions,,
sti_prep_risky,prep_r_survey,,radio,"Having sex with someone on PrEP is risky.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,5,stiprepopinions,,
sti_prep_smart,prep_r_survey,,radio,"People who are on PrEP are making a smart decision to protect their health.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,6,stiprepopinions,,
sti_prep_notrust,prep_r_survey,,radio,"I would not trust someone who told me they were on PrEP.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,7,stiprepopinions,,
sti_prep_sexdrive,prep_r_survey,,radio,"People who are on PrEP can't control their sex drive.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,8,stiprepopinions,,
sti_prep_lie,prep_r_survey,,radio,"Many people on PrEP lie about whether or not they take it every day.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,9,stiprepopinions,,
sti_prep_respons,prep_r_survey,,radio,"People who are on PrEP are responsible.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,10,stiprepopinions,,
sti_prep_nocondom,prep_r_survey,,radio,"PrEP should only be given to people who are unable to make their partners use condoms.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,11,stiprepopinions,,
sti_prep_anyone,prep_r_survey,,radio,"PrEP should be given to anyone who wants to take it for HIV prevention.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,12,stiprepopinions,,
sti_prep_cdc,prep_r_survey,,radio,"The CDC cannot be trusted to tell gay communities the truth about PrEP.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,13,stiprepopinions,,
sti_prep_pharma,prep_r_survey,,radio,"When it comes to PrEP, drug companies are lying and taking advantage of us.","1, Strongly agree | 2, Agree | 3, Neither agree nor disagree | 4, Disagree | 5, Strongly Disagree | -98, Don't Know | -99, Refused",,,,,,,,,14,stiprepopinions,,
sti_preptransition3,prep_r_survey,,descriptive,"In the next set of questions we want to know more about your own thoughts on PrEP. On a scale of 1 to 5, where 1 = not at all important and 5 = important, how important are the following in your decision to use PrEP:",,,,,,,,,,,,,
sti_prep_longterm,prep_r_survey,,radio,"Concerns about the long-term effects of PrEP on my health.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,1,stiprepopinions2,,
sti_prep_sideeff,prep_r_survey,,radio,"Concerns about side effects.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,2,stiprepopinions2,,
sti_prep_medseff,prep_r_survey,,radio,"Concerns that if I do become HIV positive, certain medicines won't work because I was taking PrEP.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,3,stiprepopinions2,,
sti_prep_protect,prep_r_survey,,radio,"Concerns that PrEP does not provide complete protection against HIV.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,4,stiprepopinions2,,
sti_prep_daily,prep_r_survey,,radio,"Having to take a pill everyday.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,5,stiprepopinions2,,
sti_prep_morerisk,prep_r_survey,,radio,"Concerns that taking PrEP might make me more likely to have anal sex without a condom.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,6,stiprepopinions2,,
sti_prep_atrisk,prep_r_survey,,radio,"Concerns that having to take PrEP means I am putting myself at risk for HIV.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,7,stiprepopinions2,,
sti_prep_partner,prep_r_survey,,radio,"Concerns that PrEP might make my partner(s) expect me to have anal sex without a condom.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,8,stiprepopinions2,,
sti_prep_seepill,prep_r_survey,,radio,"Concerns that people will see me taking my PrEP medication and will want to know why I am taking it.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,9,stiprepopinions2,,
sti_prep_seehiv,prep_r_survey,,radio,"Concerns that people will see me taking my PrEP medication and think I have HIV.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,10,stiprepopinions2,,
